Module Pin,Module Net,Carrier J1,Carrier J2,Carrier J3,Carrier J4,Carrier J5,Carrier J6
A38,Ch_117,Col_36-Row_3,Col_33-Row_6,Col_35-Row_13,Col_10-Row_5,Col_9-Row_11,Col_12-Row_14
A39,Ch_119,Col_35-Row_1,Col_33-Row_7,Col_35-Row_12,Col_10-Row_4,Col_10-Row_9,Col_12-Row_15
A4,P2,P2B,P2B,P2B,P2A,P2A,P2A
A40,Ch_121,Col_35-Row_2,Col_33-Row_8,Col_34-Row_13,Col_11-Row_5,Col_10-Row_10,Col_12-Row_16
A41,Ch_123,Col_35-Row_3,Col_32-Row_6,Col_34-Row_12,Col_11-Row_4,Col_10-Row_11,Col_13-Row_14
A42,Ch_125,Col_34-Row_1,Col_32-Row_7,Col_33-Row_13,Col_12-Row_5,Col_11-Row_9,Col_13-Row_15
A43,Ch_127,Col_34-Row_2,Col_32-Row_8,Col_33-Row_12,Col_12-Row_4,Col_11-Row_10,Col_13-Row_16
A44,Ch_42,Col_34-Row_3,Col_31-Row_6,Col_32-Row_13,Col_13-Row_5,Col_11-Row_11,Col_14-Row_14
A45,Ch_44,Col_33-Row_1,Col_31-Row_7,Col_32-Row_12,Col_13-Row_4,Col_12-Row_9,Col_14-Row_15
A46,Ch_46,Col_33-Row_2,Col_31-Row_8,Col_31-Row_13,Col_14-Row_5,Col_12-Row_10,Col_14-Row_16
A47,Ch_80,Col_33-Row_3,Col_30-Row_6,Col_31-Row_12,Col_14-Row_4,Col_12-Row_11,Col_15-Row_14
A48,Ch_82,Col_32-Row_1,Col_30-Row_7,Col_30-Row_13,Col_15-Row_5,Col_13-Row_9,Col_15-Row_15
A49,Ch_84,Col_32-Row_2,Col_30-Row_8,Col_30-Row_12,Col_15-Row_4,Col_13-Row_10,Col_15-Row_16
A5,GND,GND,GND,GND,GND,GND,GND
A50,Ch_86,Col_32-Row_3,Col_29-Row_6,Col_29-Row_13,Col_16-Row_5,Col_13-Row_11,Col_16-Row_14
A51,Ch_88,Col_31-Row_1,Col_29-Row_7,Col_29-Row_12,Col_16-Row_4,Col_14-Row_9,Col_16-Row_15
